Event 0
nTracks 10
8 : 1.36684
9 : 1.90938
Event 10
nTracks 10
0 : 2.05809
1 : 1.34142
2 : 1.76152
3 : 2.29169
4 : 2.05081
5 : 2.1923
6 : 0.280789
7 : 0.359841
8 : 0.166023
9 : 2.61124
Event 11
nTracks 10
0 : 0.367566
1 : 0.9542
2 : 0.532285
3 : 0.417185
4 : 2.1231
5 : 2.19041
6 : 0.563911
7 : 1.35401
8 : 3.03815
9 : 2.75533
Event 12
nTracks 10
0 : 0.383417
1 : 1.51768
2 : 1.14703
3 : 2.85089
4 : 0.52651
5 : 2.17247
6 : 1.98637
7 : 3.09404
8 : 1.36882
9 : 2.56473
Event 13
nTracks 10
0 : 3.1266
1 : 1.71252
2 : 0.763987
3 : 2.03955
4 : 1.82903
5 : 0.77281
6 : 0.565707
7 : 1.38561
8 : 0.438197
9 : 3.13206
Event 14
nTracks 10
0 : 0.356371
1 : 2.08096
2 : 0.0808788
3 : 1.19802
4 : 2.63491
5 : 0.851982
6 : 1.94418
7 : 0.703251
8 : 1.26785
9 : 2.16625
Event 15
nTracks 10
0 : 2.69261
1 : 2.07347
2 : 0.237386
3 : 0.353611
4 : 1.49979
5 : 2.48251
6 : 1.47516
7 : 2.97655
8 : 3.08574
9 : 1.01519
Event 16
nTracks 10
0 : 0.599435
1 : 1.04223
2 : 2.08753
3 : 2.18256
4 : 1.94329
5 : 0.291883
6 : 2.44661
7 : 2.3509
8 : 0.717925
9 : 0.7868
Event 17
nTracks 10
0 : 3.02769
1 : 1.31022
2 : 1.02008
3 : 0.000725743
4 : 2.75735
5 : 0.0109175
6 : 0.487896
7 : 0.0343874
8 : 1.93166
9 : 2.33323
Event 18
nTracks 10
0 : 1.95626
1 : 3.04197
2 : 1.56089
3 : 1.67279
4 : 1.43982
5 : 2.27959
6 : 1.84269
7 : 2.1827
8 : 3.00744
9 : 0.0688262
Event 19
nTracks 10
0 : 0.840232
1 : 2.75938
2 : 0.901456
3 : 0.966503
4 : 0.906638
5 : 2.97005
6 : 2.6956
7 : 2.4065
8 : 1.70126
9 : 1.25999
Event 20
nTracks 10
0 : 0.629122
1 : 0.222019
2 : 0.871448
3 : 0.0575525
4 : 0.718263
5 : 1.18015
6 : 1.41702
7 : 1.1448
8 : 1.36704
9 : 0.344927
Event 21
nTracks 10
0 : 2.56684
1 : 0.485029
2 : 0.847906
3 : 0.508486
4 : 2.95465
5 : 2.17673
6 : 0.391788
7 : 0.760406
8 : 1.22967
9 : 1.12907
Event 22
nTracks 10
0 : 2.32184
1 : 0.833034
2 : 2.21738
3 : 1.57201
4 : 0.346432
5 : 0.444286
6 : 2.17832
7 : 2.30382
8 : 3.08238
9 : 2.22768
Event 23
nTracks 10
0 : 1.76573
1 : 2.1763
2 : 3.01161
3 : 1.90406
4 : 2.4596
5 : 2.88948
6 : 2.10525
7 : 2.14439
8 : 1.83671
9 : 3.00486
Event 24
nTracks 10
0 : 0.479112
1 : 1.01682
2 : 3.00132
3 : 0.320587
4 : 1.9745
5 : 3.01588
6 : 3.09866
7 : 0.206197
8 : 1.57875
9 : 2.17598
Event 25
nTracks 10
0 : 1.75253
1 : 1.86643
2 : 2.21112
3 : 1.44337
4 : 1.82344
5 : 0.212498
6 : 2.03731
7 : 1.19061
8 : 0.655509
9 : 0.00649199
Event 26
nTracks 10
0 : 1.55597
1 : 0.564867
2 : 0.0647797
3 : 2.86006
4 : 2.36047
5 : 1.38177
6 : 1.29102
7 : 2.42988
8 : 1.35879
9 : 0.563853
Event 27
nTracks 10
0 : 1.83309
1 : 0.38879
2 : 0.960914
3 : 1.52612
4 : 2.96414
5 : 2.9491
6 : 0.214753
7 : 1.95163
8 : 1.62115
9 : 1.9923
Event 28
nTracks 10
0 : 0.38272
1 : 2.06018
2 : 0.393131
3 : 2.08551
4 : 0.793187
5 : 1.17078
6 : 1.87722
7 : 2.14027
8 : 1.75596
9 : 0.0567461
Event 29
nTracks 10
0 : 0.543725
1 : 3.11594
2 : 1.82149
3 : 2.03565
4 : 1.89282
5 : 1.62285
6 : 1.00262
7 : 1.22062
8 : 2.80217
9 : 2.46279
Event 30
nTracks 10
0 : 1.90696
1 : 0.0719452
2 : 0.0356615
3 : 2.23305
4 : 0.795644
5 : 2.35441
6 : 3.14151
7 : 2.39542
8 : 1.51943
9 : 2.6222
Event 31
nTracks 10
0 : 1.98604
1 : 2.85689
2 : 0.164586
3 : 2.36188
4 : 1.15208
5 : 0.10711
6 : 2.47733
7 : 2.66331
8 : 1.04956
9 : 0.238735
Event 32
nTracks 10
0 : 0.660625
1 : 0.447795
2 : 1.23548
3 : 1.67867
4 : 2.5859
5 : 0.1187
6 : 0.344904
7 : 1.8266
8 : 2.64831
9 : 0.605464
Event 33
nTracks 10
0 : 0.710416
1 : 3.13266
2 : 0.7724
3 : 2.82608
4 : 2.69181
5 : 0.924704
6 : 0.0970926
7 : 2.25852
8 : 0.571854
9 : 1.60145
Event 34
nTracks 10
0 : 0.0626844
1 : 2.1501
2 : 2.59153
3 : 2.57247
4 : 1.50773
5 : 1.69879
6 : 2.49165
7 : 1.0194
8 : 2.23563
9 : 1.31853
Event 35
nTracks 10
0 : 2.62685
1 : 2.98319
2 : 1.75769
3 : 2.27151
4 : 1.15933
5 : 2.07046
6 : 0.132972
7 : 0.456779
8 : 2.80628
9 : 2.30667
Event 36
nTracks 10
0 : 3.03002
1 : 1.33355
2 : 0.386838
3 : 1.36413
4 : 1.45883
5 : 1.26537
6 : 0.831005
7 : 0.835162
8 : 3.00948
9 : 2.56357
Event 37
nTracks 10
0 : 3.04996
1 : 3.14079
2 : 2.98771
3 : 0.741004
4 : 0.0195044
5 : 1.38244
6 : 2.15437
7 : 1.55878
8 : 0.0611247
9 : 2.64651
Event 38
nTracks 10
0 : 0.317293
1 : 0.271946
2 : 2.82061
3 : 1.38657
4 : 2.86982
5 : 1.75497
6 : 2.42545
7 : 2.59756
8 : 1.68329
9 : 0.160585
Event 39
nTracks 10
0 : 0.157229
1 : 2.8471
2 : 0.43115
3 : 1.51155
4 : 0.196146
5 : 0.843566
6 : 2.94589
7 : 1.59578
8 : 1.79045
9 : 2.55247
Event 40
nTracks 10
0 : 2.06241
1 : 0.933176
2 : 0.139196
3 : 0.751665
4 : 2.28229
5 : 2.14446
6 : 1.92775
7 : 0.435225
8 : 2.5358
9 : 2.12586
Event 41
nTracks 10
0 : 2.71405
1 : 2.58234
2 : 0.207386
3 : 0.200507
4 : 2.82138
5 : 2.42113
6 : 0.204947
7 : 2.70746
8 : 2.47474
9 : 2.18946
Event 42
nTracks 10
0 : 0.697486
1 : 1.43972
2 : 2.95638
3 : 2.12478
4 : 1.43326
5 : 2.81358
6 : 1.82468
7 : 0.0877904
8 : 2.45001
9 : 1.05086
Event 43
nTracks 10
0 : 1.94058
1 : 0.644998
2 : 2.05541
3 : 1.81376
4 : 2.55734
5 : 3.03197
6 : 1.23746
7 : 3.13157
8 : 2.3834
9 : 1.39495
Event 44
nTracks 10
0 : 1.21742
1 : 0.361194
2 : 1.68209
3 : 2.65137
4 : 2.90144
5 : 2.62796
6 : 1.38647
7 : 0.799248
8 : 2.123
9 : 2.44848
Event 45
nTracks 10
0 : 2.12811
1 : 1.5843
2 : 2.6567
3 : 1.98481
4 : 1.42598
5 : 1.75817
6 : 1.11775
7 : 2.09656
8 : 2.89958
9 : 0.827392
Event 46
nTracks 10
0 : 0.354748
1 : 3.04316
2 : 2.2298
3 : 1.37843
4 : 2.01064
5 : 1.12613
6 : 0.708771
7 : 0.904467
8 : 2.271
9 : 0.138229
Event 47
nTracks 10
0 : 1.54527
1 : 0.237008
2 : 0.357125
3 : 3.12153
4 : 1.0824
5 : 2.4423
6 : 2.86156
7 : 1.21851
8 : 2.60235
9 : 1.06231
Event 48
nTracks 10
0 : 0.796281
1 : 1.12333
2 : 2.40329
3 : 1.8691
4 : 1.53467
5 : 2.15251
6 : 0.994831
7 : 2.71299
8 : 2.64836
9 : 0.469103
Event 49
nTracks 10
0 : 0.975748
1 : 2.9965
2 : 0.27849
3 : 0.686549
4 : 2.73286
5 : 1.09734
6 : 3.0975
7 : 0.0930532
8 : 2.63713
9 : 1.62819
Event 50
nTracks 10
0 : 1.53463
1 : 3.03675
2 : 3.02554
3 : 2.17952
4 : 2.73339
5 : 1.42016
6 : 1.00814
7 : 0.172311
8 : 1.40798
9 : 0.644418
Event 51
nTracks 10
0 : 1.05128
1 : 1.74115
2 : 0.960261
3 : 2.82879
4 : 1.53681
5 : 0.765783
6 : 3.05138
7 : 2.88078
8 : 0.673256
9 : 0.993313
Event 52
nTracks 10
0 : 0.861159
1 : 0.418043
2 : 0.289983
3 : 0.567953
4 : 0.930466
5 : 2.76499
6 : 1.20193
7 : 2.51563
8 : 0.593784
9 : 3.10225
Event 53
nTracks 10
0 : 2.79891
1 : 0.32118
2 : 1.07975
3 : 1.76075
4 : 2.20815
5 : 2.05559
6 : 1.10881
7 : 0.229997
8 : 0.593797
9 : 2.29211
Event 54
nTracks 10
0 : 2.37842
1 : 2.45089
2 : 0.731314
3 : 2.13475
4 : 2.81111
5 : 1.12118
6 : 1.67848
7 : 1.58051
8 : 0.950325
9 : 1.98526
Event 55
nTracks 10
0 : 0.0579076
1 : 2.16185
2 : 1.33192
3 : 0.692167
4 : 3.10558
5 : 0.924666
6 : 1.55248
7 : 2.39174
8 : 2.82545
9 : 0.131843
Event 56
nTracks 10
0 : 1.32429
1 : 0.674061
2 : 1.51642
3 : 0.484286
4 : 0.262117
5 : 1.17896
6 : 0.069351
7 : 0.999503
8 : 1.67737
9 : 1.4912
Event 57
nTracks 10
0 : 2.78298
1 : 1.41905
2 : 1.56158
3 : 1.21876
4 : 2.80856
5 : 2.35243
6 : 0.31839
7 : 1.22457
8 : 2.67898
9 : 2.62975
Event 58
nTracks 10
0 : 2.95702
1 : 0.731772
2 : 2.042
3 : 1.54804
4 : 0.214136
5 : 2.48946
6 : 0.12259
7 : 2.24158
8 : 2.96833
9 : 2.23976
Event 59
nTracks 10
0 : 2.47906
1 : 0.5692
2 : 0.0201452
3 : 2.6802
4 : 2.90628
5 : 0.72086
6 : 0.561174
7 : 2.34933
8 : 0.483916
9 : 3.11339
Event 60
nTracks 10
0 : 3.09169
1 : 2.0994
2 : 0.0546184
3 : 2.42595
4 : 1.09055
5 : 1.60158
6 : 2.36132
7 : 1.80203
8 : 0.868651
9 : 1.28197
Event 61
nTracks 10
0 : 3.08647
1 : 1.11799
2 : 1.63183
3 : 2.68387
4 : 3.04883
5 : 0.773353
6 : 1.49675
7 : 1.35739
8 : 1.16278
9 : 0.600699
Event 62
nTracks 10
0 : 1.74404
1 : 0.762852
2 : 1.74158
3 : 2.76221
4 : 0.718208
5 : 0.461666
6 : 0.647205
7 : 0.340137
8 : 2.393
9 : 0.46521
Event 63
nTracks 10
0 : 1.49008
1 : 1.72537
2 : 2.78741
3 : 0.0498767
4 : 1.71739
5 : 0.96154
6 : 2.51608
7 : 2.7659
8 : 2.36003
9 : 0.269539
Event 64
nTracks 10
0 : 0.90807
1 : 2.03347
2 : 1.81434
3 : 2.27888
4 : 2.05715
5 : 0.684868
6 : 3.05923
7 : 3.04311
8 : 0.877659
9 : 0.51633
Event 65
nTracks 10
0 : 0.944969
1 : 3.09694
2 : 1.80361
3 : 2.68465
4 : 0.423767
5 : 1.43415
6 : 1.93648
7 : 0.543046
8 : 1.04211
9 : 1.93159
Event 66
nTracks 10
0 : 2.66584
1 : 0.549305
2 : 0.0880986
3 : 0.9273
4 : 0.366815
5 : 0.809517
6 : 2.77314
7 : 1.13329
8 : 2.8325
9 : 1.25836
Event 67
nTracks 10
0 : 2.796
1 : 2.06919
2 : 0.705031
3 : 1.66911
4 : 0.883553
5 : 0.275383
6 : 2.95083
7 : 0.356125
8 : 1.06464
9 : 0.195338
Event 68
nTracks 10
0 : 2.05026
1 : 2.21378
2 : 1.0164
3 : 1.14566
4 : 0.948201
5 : 1.70295
6 : 0.287954
7 : 1.53841
8 : 0.996258
9 : 2.26906
Event 69
nTracks 10
0 : 2.79547
1 : 1.20811
2 : 2.71388
3 : 1.44721
4 : 1.66314
5 : 1.54795
6 : 0.80129
7 : 1.8532
8 : 0.167057
9 : 3.02323
Event 70
nTracks 10
0 : 2.46258
1 : 0.124358
2 : 1.56545
3 : 0.152292
4 : 1.78045
5 : 3.02621
6 : 1.97621
7 : 1.6685
8 : 2.23235
9 : 0.549225
Event 71
nTracks 10
0 : 1.75483
1 : 2.12861
2 : 0.448557
3 : 2.99235
4 : 0.551237
5 : 1.84456
6 : 2.70427
7 : 0.312336
8 : 2.16025
9 : 2.53823
Event 72
nTracks 10
0 : 2.10096
1 : 0.0271977
2 : 0.610433
3 : 2.03122
4 : 0.111352
5 : 2.16624
6 : 2.16691
7 : 2.1467
8 : 1.2192
9 : 2.11386
Event 73
nTracks 10
0 : 2.02111
1 : 3.03135
2 : 3.12039
3 : 0.290169
4 : 0.197873
5 : 1.31906
6 : 2.98737
7 : 2.2646
8 : 1.45757
9 : 0.130533
Event 74
nTracks 10
0 : 2.39164
1 : 2.16838
2 : 0.624678
3 : 1.22647
4 : 3.00672
5 : 0.0841027
6 : 2.95442
7 : 2.69202
8 : 2.11766
9 : 2.75458
Event 75
nTracks 10
0 : 2.08365
1 : 1.40988
2 : 0.920353
3 : 1.07236
4 : 0.838753
5 : 0.702113
6 : 0.0785738
7 : 2.08268
8 : 2.27631
9 : 1.97659
Event 76
nTracks 10
0 : 0.367269
1 : 1.40983
2 : 2.9151
3 : 0.353652
4 : 1.2443
5 : 0.777731
6 : 2.48548
7 : 2.13421
8 : 0.0779507
9 : 1.5412
Event 77
nTracks 10
0 : 2.89377
1 : 2.25088
2 : 2.00403
3 : 1.83722
4 : 2.0072
5 : 2.33462
6 : 2.04737
7 : 1.44698
8 : 1.95781
9 : 0.759497
Event 78
nTracks 10
0 : 2.57672
1 : 0.680255
2 : 1.40197
3 : 2.77336
4 : 0.599758
5 : 1.65173
6 : 0.37047
7 : 1.84081
8 : 0.782736
9 : 0.615026
Event 79
nTracks 10
0 : 1.75089
1 : 2.70537
2 : 1.61721
3 : 1.76929
4 : 2.1287
5 : 3.13861
6 : 0.525354
7 : 0.341503
8 : 0.19943
9 : 1.98583
Event 80
nTracks 10
0 : 0.950129
1 : 2.8195
2 : 2.57002
3 : 1.33226
4 : 1.65509
5 : 1.40944
6 : 2.01245
7 : 1.79753
8 : 3.02184
9 : 2.87319
Event 81
nTracks 10
0 : 2.24088
1 : 1.15489
2 : 2.18591
3 : 0.585469
4 : 1.96817
5 : 1.27763
6 : 2.62186
7 : 2.41346
8 : 2.24791
9 : 1.11273
Event 82
nTracks 10
0 : 2.61038
1 : 2.401
2 : 0.142006
3 : 1.6683
4 : 1.966
5 : 0.811245
6 : 2.55286
7 : 0.699412
8 : 2.86064
9 : 0.773061
Event 83
nTracks 10
0 : 0.564927
1 : 0.0361025
2 : 2.7114
3 : 1.98017
4 : 2.71871
5 : 0.410864
6 : 2.76877
7 : 2.26624
8 : 0.270444
9 : 0.0603714
Event 84
nTracks 10
0 : 2.49715
1 : 0.0875397
2 : 1.58654
3 : 0.238088
4 : 2.46899
5 : 2.76844
6 : 2.79053
7 : 2.80087
8 : 2.76799
9 : 1.43
Event 85
nTracks 10
0 : 2.85626
1 : 1.73413
2 : 0.163077
3 : 1.88047
4 : 1.78855
5 : 2.47712
6 : 0.889422
7 : 0.118921
8 : 1.22673
9 : 0.847096
Event 86
nTracks 10
0 : 2.57075
1 : 1.59524
2 : 2.19995
3 : 1.55258
4 : 1.4158
5 : 1.30376
6 : 0.114252
7 : 0.266197
8 : 1.21083
9 : 0.396774
Event 87
nTracks 10
0 : 3.05036
1 : 2.58581
2 : 0.987267
3 : 3.03099
4 : 0.292926
5 : 0.300714
6 : 0.926873
7 : 1.01234
8 : 2.72498
9 : 1.64904
Event 88
nTracks 10
0 : 1.96184
1 : 3.08794
2 : 2.54262
3 : 0.587666
4 : 1.42314
5 : 1.81234
6 : 0.636907
7 : 2.19442
8 : 0.835455
9 : 0.529784
Event 89
nTracks 10
0 : 1.22315
1 : 0.478918
2 : 2.55829
3 : 0.244025
4 : 2.03732
5 : 0.686044
6 : 1.84315
7 : 2.74382
8 : 2.94557
9 : 2.61523
Event 90
nTracks 10
0 : 1.50453
1 : 2.03106
2 : 0.535133
3 : 1.46569
4 : 0.933359
5 : 2.13736
6 : 2.30912
7 : 1.82547
8 : 1.66586
9 : 2.57839
Event 91
nTracks 10
0 : 3.10343
1 : 0.980443
2 : 1.93147
3 : 2.42584
4 : 2.5227
5 : 0.203832
6 : 1.74283
7 : 0.0270487
8 : 2.50327
9 : 2.20283
Event 92
nTracks 10
0 : 3.03562
1 : 1.62693
2 : 1.08927
3 : 1.51049
4 : 1.3324
5 : 3.13085
6 : 1.914
7 : 2.50442
8 : 3.05587
9 : 1.52933
Event 93
nTracks 10
0 : 0.277166
1 : 3.08146
2 : 0.353751
3 : 2.01085
4 : 0.573776
5 : 0.631301
6 : 0.0424699
7 : 1.12059
8 : 1.03327
9 : 2.30737
Event 94
nTracks 10
0 : 1.12344
1 : 0.0611954
2 : 0.385818
3 : 1.8656
4 : 2.34468
5 : 2.74187
6 : 0.401598
7 : 0.152679
8 : 1.2524
9 : 0.719534
Event 95
nTracks 10
0 : 1.47677
1 : 2.76737
2 : 1.41639
3 : 0.20866
4 : 0.948769
5 : 1.54629
6 : 2.37017
7 : 2.22128
8 : 3.09175
9 : 0.967132
Event 96
nTracks 10
0 : 2.5631
1 : 0.155717
2 : 2.38405
3 : 0.914725
4 : 0.27174
5 : 2.95081
6 : 2.38628
7 : 0.292241
8 : 2.30265
9 : 0.624164
Event 97
nTracks 10
0 : 3.03418
1 : 2.39354
2 : 2.36359
3 : 1.60519
4 : 0.254731
5 : 2.07598
6 : 0.240267
7 : 2.3236
8 : 1.6821
9 : 2.3939
Event 98
nTracks 10
0 : 2.73482
1 : 0.100987
2 : 0.27186
3 : 2.09314
4 : 3.02375
5 : 1.5266
6 : 2.73073
7 : 0.247396
8 : 2.29709
9 : 2.70395
Event 99
nTracks 10
0 : 2.60765
1 : 2.28989
2 : 1.25912
3 : 2.03176
4 : 1.65217
5 : 1.13835
6 : 1.07693
7 : 1.90352
8 : 0.284699
9 : 0.828336
Event 100
nTracks 10
0 : 1.44284
1 : 1.99937
2 : 0.492434
3 : 0.875028
4 : 1.16154
5 : 2.84141
6 : 2.90879
7 : 2.81849
8 : 1.41695
9 : 1.37548
Event 101
nTracks 10
0 : 1.60354
1 : 1.14594
2 : 1.25486
3 : 3.07323
4 : 1.12499
5 : 0.328965
6 : 0.720802
7 : 2.22319
8 : 3.03795
9 : 2.90049
Event 102
nTracks 10
0 : 0.165733
1 : 2.08194
2 : 2.90384
3 : 0.187338
4 : 3.0144
5 : 1.4429
6 : 1.4353
7 : 0.771829
8 : 1.33424
9 : 0.87941
Event 103
nTracks 10
0 : 2.37907
1 : 0.207788
2 : 0.517215
3 : 1.34284
4 : 0.87074
5 : 1.71582
6 : 2.08041
7 : 3.0655
8 : 0.551007
9 : 1.30026
Event 104
nTracks 10
0 : 2.96109
1 : 2.30581
2 : 0.959792
3 : 2.33788
4 : 3.07568
5 : 0.067039
6 : 0.769016
7 : 2.44228
8 : 1.40872
9 : 2.52469
Event 105
nTracks 10
0 : 0.685323
1 : 1.00868
2 : 1.18019
3 : 2.23104
4 : 0.113917
5 : 1.26645
6 : 2.95511
7 : 1.3697
8 : 1.62578
9 : 0.320356
Event 106
nTracks 10
0 : 0.541091
1 : 1.52785
2 : 0.87926
3 : 1.94554
4 : 2.98314
5 : 0.78669
6 : 3.11429
7 : 0.629532
8 : 2.84129
9 : 0.634271
Event 107
nTracks 10
0 : 0.806664
1 : 1.43161
2 : 2.59542
3 : 0.250958
4 : 2.70908
5 : 2.51408
6 : 2.63605
7 : 0.608302
8 : 0.313317
9 : 2.70662
Event 108
nTracks 10
0 : 0.412499
1 : 2.19005
2 : 2.07468
3 : 1.56782
4 : 1.11817
5 : 2.90933
6 : 0.614201
7 : 1.99691
8 : 1.06876
9 : 2.59415
Event 109
nTracks 10
0 : 1.70117
1 : 3.06347
2 : 2.13912
3 : 3.04623
4 : 0.332188
5 : 1.37179
6 : 0.0721483
7 : 0.893685
8 : 0.9728
9 : 2.15251
Event 110
nTracks 10
0 : 1.4413
1 : 3.11191
2 : 1.52764
3 : 0.330532
4 : 0.0667111
5 : 2.18417
6 : 1.15987
7 : 1.54219
8 : 2.36547
9 : 0.22071
Event 111
nTracks 10
0 : 2.55773
1 : 0.92925
2 : 0.0118037
3 : 0.340083
4 : 2.21784
5 : 0.528399
6 : 0.267539
7 : 1.07179
8 : 2.36027
9 : 1.61446
Event 112
nTracks 10
0 : 2.30006
1 : 2.62447
2 : 0.00319003
3 : 2.57755
4 : 1.03264
5 : 1.90877
6 : 1.37287
7 : 1.39113
8 : 0.785058
9 : 1.29096
Event 113
nTracks 10
0 : 0.824923
1 : 1.31114
2 : 2.86003
3 : 2.0075
4 : 1.7844
5 : 2.86431
6 : 2.47548
7 : 0.635479
8 : 1.7196
9 : 2.19389
Event 114
nTracks 10
0 : 0.00865684
1 : 0.554172
2 : 2.12735
3 : 2.38915
4 : 1.68896
5 : 2.33313
6 : 1.89293
7 : 1.44137
8 : 2.69615
9 : 0.182319
Event 115
nTracks 10
0 : 2.36603
1 : 1.75983
2 : 0.319088
3 : 1.37655
4 : 2.49041
5 : 3.13469
6 : 0.775909
7 : 0.814267
8 : 1.34371
9 : 2.39607
Event 116
nTracks 10
0 : 2.99234
1 : 2.92068
2 : 1.11204
3 : 1.38875
4 : 1.51601
5 : 1.91557
6 : 1.0691
7 : 0.658592
8 : 2.82276
9 : 2.70759
Event 117
nTracks 10
0 : 0.0760515
1 : 0.528159
2 : 2.47846
3 : 2.47295
4 : 1.49872
5 : 0.328581
6 : 1.8273
7 : 1.02075
8 : 1.63415
9 : 0.179182
Event 118
nTracks 10
0 : 0.589634
1 : 0.557873
2 : 1.06869
3 : 0.630029
4 : 0.354034
5 : 0.413013
6 : 1.69016
7 : 1.80937
8 : 1.39443
9 : 0.222356
Event 119
nTracks 10
0 : 1.51408
1 : 2.7849
2 : 2.93109
3 : 0.48489
4 : 0.930473
5 : 1.69308
6 : 1.05154
7 : 2.52195
8 : 0.691924
9 : 2.48819
Event 120
nTracks 10
0 : 3.0347
1 : 2.21095
2 : 0.52857
3 : 0.943287
4 : 1.92862
5 : 1.02585
6 : 1.06593
7 : 0.500705
8 : 2.42451
9 : 2.44688
Event 121
nTracks 10
0 : 3.07349
1 : 0.386629
2 : 0.401633
3 : 2.80641
4 : 0.995783
5 : 0.978707
6 : 2.54348
7 : 2.47931
8 : 0.150176
9 : 2.62218
Event 122
nTracks 10
0 : 1.85897
1 : 0.0530159
2 : 0.197284
3 : 1.79194
4 : 0.0203364
5 : 2.11947
6 : 1.50216
7 : 2.84145
8 : 0.462775
9 : 0.292355
Event 123
nTracks 10
0 : 0.0486466
1 : 1.31098
2 : 2.48664
3 : 0.484287
4 : 1.63063
5 : 0.0797195
6 : 0.17211
7 : 2.07893
8 : 0.647594
9 : 1.23484
Event 124
nTracks 10
0 : 0.450573
1 : 0.195291
2 : 2.91272
3 : 0.606051
4 : 1.28465
5 : 0.237109
6 : 1.83229
7 : 0.218155
8 : 1.93333
9 : 0.378807
Event 125
nTracks 10
0 : 1.35784
1 : 1.6679
2 : 3.06638
3 : 0.893345
4 : 2.02805
5 : 0.54904
6 : 3.05161
7 : 0.72559
8 : 2.61756
9 : 0.287523
Event 126
nTracks 10
0 : 3.1363
1 : 1.21755
2 : 2.12162
3 : 1.72792
4 : 0.405966
5 : 2.54401
6 : 0.130857
7 : 2.61174
8 : 1.13846
9 : 1.8969
Event 127
nTracks 10
0 : 2.39713
1 : 1.63714
2 : 1.08015
3 : 1.8121
4 : 0.890836
5 : 2.9473
6 : 0.277313
7 : 1.54294
8 : 0.959156
9 : 3.05157
Event 128
nTracks 10
0 : 0.350985
1 : 1.72923
2 : 2.61713
3 : 1.21503
4 : 0.711948
5 : 2.45082
6 : 1.68814
7 : 0.511614
8 : 0.317011
9 : 1.62001
Event 129
nTracks 10
0 : 1.48826
1 : 1.8224
2 : 2.96367
3 : 2.38066
4 : 2.68796
5 : 2.68929
6 : 1.04013
7 : 0.491394
8 : 2.69719
9 : 3.09161
Event 130
nTracks 10
0 : 0.132748
1 : 2.45906
2 : 0.695517
3 : 2.3479
4 : 2.18249
5 : 1.4521
6 : 0.615493
7 : 0.285876
8 : 3.06617
9 : 2.23321
Event 131
nTracks 10
0 : 1.23969
1 : 1.61716
2 : 2.29601
3 : 1.87838
4 : 1.63483
5 : 0.279204
6 : 0.340892
7 : 2.29704
8 : 2.28793
9 : 1.09758
Event 132
nTracks 10
0 : 0.18685
1 : 1.37451
2 : 1.62834
3 : 0.0615999
4 : 2.15167
5 : 0.914409
6 : 2.63988
7 : 3.09337
8 : 1.47511
9 : 1.54899
Event 133
nTracks 10
0 : 1.52349
1 : 2.98016
2 : 2.25971
3 : 2.7239
4 : 0.377984
5 : 2.97023
6 : 0.739057
7 : 2.98798
8 : 1.61239
9 : 0.264347
Event 134
nTracks 10
0 : 1.46274
1 : 0.320993
2 : 0.221203
3 : 1.33426
4 : 2.53199
5 : 0.566729
6 : 0.723193
7 : 2.53939
8 : 1.57053
9 : 2.82262
Event 135
nTracks 10
0 : 2.7655
1 : 1.98204
2 : 2.09687
3 : 1.10407
4 : 1.37039
5 : 1.78943
6 : 1.57879
7 : 3.04225
8 : 1.01689
9 : 2.49599
Event 136
nTracks 10
0 : 2.09737
1 : 0.80777
2 : 0.163733
3 : 0.60564
4 : 2.48861
5 : 0.202336
6 : 0.85784
